timestamp,views
2022-01-01,10524
2022-01-02,10578
2022-01-03,12720
2022-01-04,13326
2022-01-05,14063
2022-01-06,13283
2022-01-07,13016
2022-01-08,13181
2022-01-09,13712
2022-01-10,15677
2022-01-11,14981
2022-01-12,15161
2022-01-13,13895
2022-01-14,11426
2022-01-15,10643
2022-01-16,10716
2022-01-17,14727
2022-01-18,15161
2022-01-19,15330
2022-01-20,15851
2022-01-21,13088
2022-01-22,11873
2022-01-23,11806
2022-01-24,14324
2022-01-25,14193
2022-01-26,13707
2022-01-27,13110
2022-01-28,12442
2022-01-29,10983
2022-01-30,11011
2022-01-31,13553
2022-02-01,12998
2022-02-02,13572
2022-02-03,13277
2022-02-04,13388
2022-02-05,12054
2022-02-06,11365
2022-02-07,14634
2022-02-08,14480
2022-02-09,15371
2022-02-10,17235
2022-02-11,14425
2022-02-12,11460
2022-02-13,13059
2022-02-14,15007
2022-02-15,16284
2022-02-16,14793
2022-02-17,17669
2022-02-18,15709
2022-02-19,16751
2022-02-20,16703
2022-02-21,21617
2022-02-22,19864
2022-02-23,19020
2022-02-24,19942
2022-02-25,18705
2022-02-26,18965
2022-02-27,17868
2022-02-28,21924
2022-03-01,21776
2022-03-02,19420
2022-03-03,18542
2022-03-04,17329
2022-03-05,13470
2022-03-06,16973
2022-03-07,17611
2022-03-08,19050
2022-03-09,19167
2022-03-10,17431
2022-03-11,18393
2022-03-12,16501
2022-03-13,16065
2022-03-14,19698
2022-03-15,19426
2022-03-16,18866
2022-03-17,16076
2022-03-18,15647
2022-03-19,15835
2022-03-20,17750
2022-03-21,22020
2022-03-22,20794
2022-03-23,22040
2022-03-24,17885
2022-03-25,15565
2022-03-26,12386
2022-03-27,13752
2022-03-28,16190
2022-03-29,17066
2022-03-30,15653
2022-03-31,15667
2022-04-01,13818
2022-04-02,13067
2022-04-03,13470
2022-04-04,17195
2022-04-05,18159
2022-04-06,19300
2022-04-07,19850
2022-04-08,15647
2022-04-09,16195
2022-04-10,14628
2022-04-11,17558
2022-04-12,17704
2022-04-13,15950
2022-04-14,15882
2022-04-15,15283
2022-04-16,14343
2022-04-17,16366
2022-04-18,20617
2022-04-19,18612
2022-04-20,19820
2022-04-21,17256
2022-04-22,16023
2022-04-23,15690
2022-04-24,15470
2022-04-25,19637
2022-04-26,18828
2022-04-27,19268
2022-04-28,18465
2022-04-29,18207
2022-04-30,13656
2022-05-01,14491
2022-05-02,18765
2022-05-03,17289
2022-05-04,19342
2022-05-05,17630
2022-05-06,16698
2022-05-07,13885
2022-05-08,15124
2022-05-09,18431
2022-05-10,17428
2022-05-11,17634
2022-05-12,17220
2022-05-13,15154
2022-05-14,13474
2022-05-15,14138
2022-05-16,16443
2022-05-17,15679
2022-05-18,15377
2022-05-19,15571
2022-05-20,16097
2022-05-21,14000
2022-05-22,13035
2022-05-23,15937
2022-05-24,17231
2022-05-25,16742
2022-05-26,16110
2022-05-27,16669
2022-05-28,13820
2022-05-29,13794
2022-05-30,17038
2022-05-31,17627
2022-06-01,17363
2022-06-02,16049
2022-06-03,14210
2022-06-04,14146
2022-06-05,14869
2022-06-06,16659
2022-06-07,16152
2022-06-08,16336
2022-06-09,15605
2022-06-10,18872
2022-06-11,14452
2022-06-12,15722
2022-06-13,19306
2022-06-14,18194
2022-06-15,17446
2022-06-16,17797
2022-06-17,16428
2022-06-18,14187
2022-06-19,15125
2022-06-20,18399
2022-06-21,18573
2022-06-22,18691
2022-06-23,17036
2022-06-24,14101
2022-06-25,12662
2022-06-26,12953
2022-06-27,15873
2022-06-28,16368
2022-06-29,15906
2022-06-30,14960
2022-07-01,14953
2022-07-02,12306
2022-07-03,13753
2022-07-04,17086
2022-07-05,14591
2022-07-06,14540
2022-07-07,15446
2022-07-08,13635
2022-07-09,13440
2022-07-10,12308
2022-07-11,15142
2022-07-12,15780
2022-07-13,14484
2022-07-14,13985
2022-07-15,13752
2022-07-16,13478
2022-07-17,12915
2022-07-18,15237
2022-07-19,15522
2022-07-20,14970
2022-07-21,16493
2022-07-22,16012
2022-07-23,13257
2022-07-24,13859
2022-07-25,19991
2022-07-26,26009
2022-07-27,26829
2022-07-28,26811
2022-07-29,24508
2022-07-30,22342
2022-07-31,20935
2022-08-01,17572
2022-08-02,17557
2022-08-03,17863
2022-08-04,17543
2022-08-05,16532
2022-08-06,16864
2022-08-07,16919
2022-08-08,19940
2022-08-09,21846
2022-08-10,20288
2022-08-11,17356
2022-08-12,15557
2022-08-13,14328
2022-08-14,17822
2022-08-15,19950
2022-08-16,20348
2022-08-17,20552
2022-08-18,21201
2022-08-19,19975
2022-08-20,15980
2022-08-21,16099
2022-08-22,19973
2022-08-23,19880
2022-08-24,18475
2022-08-25,19534
2022-08-26,17593
2022-08-27,17513
2022-08-28,17209
2022-08-29,19808
2022-08-30,21320
2022-08-31,19651
2022-09-01,21265
2022-09-02,19952
2022-09-03,17364
2022-09-04,18179
2022-09-05,21924
2022-09-06,28460
2022-09-07,22190
2022-09-08,21813
2022-09-09,21008
2022-09-10,18307
2022-09-11,18021
2022-09-12,21774
2022-09-13,22185
2022-09-14,22392
2022-09-15,22714
2022-09-16,21697
2022-09-17,19478
2022-09-18,18351
2022-09-19,21430
2022-09-20,24949
2022-09-21,28118
2022-09-22,28993
2022-09-23,27236
2022-09-24,23561
2022-09-25,21340
2022-09-26,25590
2022-09-27,25295
2022-09-28,22898
2022-09-29,21696
2022-09-30,20111
2022-10-01,18750
2022-10-02,16316
2022-10-03,20528
2022-10-04,20789
2022-10-05,18987
2022-10-06,20675
2022-10-07,18815
2022-10-08,16481
2022-10-09,17033
2022-10-10,20921
2022-10-11,22720
2022-10-12,22413
2022-10-13,21657
2022-10-14,27504
2022-10-15,24773
2022-10-16,19827
2022-10-17,24255
2022-10-18,24356
2022-10-19,23840
2022-10-20,24470
2022-10-21,22509
2022-10-22,20895
2022-10-23,19048
2022-10-24,21281
2022-10-25,22558
2022-10-26,22322
2022-10-27,21802
2022-10-28,19266
2022-10-29,17395
2022-10-30,18854
2022-10-31,22308
2022-11-01,23056
2022-11-02,21947
2022-11-03,22701
2022-11-04,22154
2022-11-05,19539
2022-11-06,18513
2022-11-07,21602
2022-11-08,22367
2022-11-09,21127
2022-11-10,19961
2022-11-11,20947
2022-11-12,18189
2022-11-13,18194
2022-11-14,22358
2022-11-15,22701
2022-11-16,21822
2022-11-17,21088
2022-11-18,20033
2022-11-19,17337
2022-11-20,18606
2022-11-21,20226
2022-11-22,20754
2022-11-23,22441
2022-11-24,22211
2022-11-25,23067
2022-11-26,19318
2022-11-27,19054
2022-11-28,24367
2022-11-29,23876
2022-11-30,23477
2022-12-01,23598
2022-12-02,19713
2022-12-03,18857
2022-12-04,19646
2022-12-05,21736
2022-12-06,21846
2022-12-07,22926
2022-12-08,22882
2022-12-09,21285
2022-12-10,19977
2022-12-11,21499
2022-12-12,25422
2022-12-13,23386
2022-12-14,20619
2022-12-15,19000
2022-12-16,16752
2022-12-17,15308
2022-12-18,15674
2022-12-19,18987
2022-12-20,18988
2022-12-21,18708
2022-12-22,15399
2022-12-23,14592
2022-12-24,12212
2022-12-25,11439
2022-12-26,13758
2022-12-27,16448
2022-12-28,14088
2022-12-29,14107
2022-12-30,10390
2022-12-31,9153
2023-01-01,9288
2023-01-02,11874
2023-01-03,13913
2023-01-04,13444
2023-01-05,13500
2023-01-06,13315
2023-01-07,11144
2023-01-08,12594
2023-01-09,14230
2023-01-10,15659
2023-01-11,15748
2023-01-12,15138
2023-01-13,13713
2023-01-14,11567
2023-01-15,13595
2023-01-16,15017
2023-01-17,16143
2023-01-18,19134
2023-01-19,18685
2023-01-20,17195
2023-01-21,16059
2023-01-22,16237
2023-01-23,18518
2023-01-24,19673
2023-01-25,18627
2023-01-26,18320
2023-01-27,17541
2023-01-28,15177
2023-01-29,16929
2023-01-30,19590
2023-01-31,19467
2023-02-01,20016
2023-02-02,19975
2023-02-03,18408
2023-02-04,16801
2023-02-05,16474
2023-02-06,19784
2023-02-07,22864
2023-02-08,21966
2023-02-09,22537
2023-02-10,20061
2023-02-11,17122
2023-02-12,17677
2023-02-13,20979
2023-02-14,26435
2023-02-15,20551
2023-02-16,19095
2023-02-17,18730
2023-02-18,22378
2023-02-19,20063
2023-02-20,22502
2023-02-21,23434
2023-02-22,24752
2023-02-23,25262
2023-02-24,23880
2023-02-25,21214
2023-02-26,20309
2023-02-27,25505
2023-02-28,25849
2023-03-01,26334
2023-03-02,28804
2023-03-03,24249
2023-03-04,21536
2023-03-05,20996
2023-03-06,25558
2023-03-07,24743
2023-03-08,24321
2023-03-09,25303
2023-03-10,23691
2023-03-11,21677
2023-03-12,22280
2023-03-13,24610
2023-03-14,31982
2023-03-15,27583
2023-03-16,26225
2023-03-17,25226
2023-03-18,21938
2023-03-19,22620
2023-03-20,27410
2023-03-21,26148
2023-03-22,26366
2023-03-23,25248
2023-03-24,23410
2023-03-25,21584
2023-03-26,21679
2023-03-27,24156
2023-03-28,28160
2023-03-29,31400
2023-03-30,33968
2023-03-31,30151
2023-04-01,25710
2023-04-02,24404
2023-04-03,27958
2023-04-04,26429
2023-04-05,22028
2023-04-06,19672
2023-04-07,19028
2023-04-08,20060
2023-04-09,17459
2023-04-10,21853
2023-04-11,23020
2023-04-12,21483
2023-04-13,21323
2023-04-14,19988
2023-04-15,16848
2023-04-16,17416
2023-04-17,24456
2023-04-18,25088
2023-04-19,25453
2023-04-20,28348
2023-04-21,26082
2023-04-22,21932
2023-04-23,23769
2023-04-24,28935
2023-04-25,29181
2023-04-26,30475
2023-04-27,30417
2023-04-28,31008
2023-04-29,25353
2023-04-30,24397
2023-05-01,30814
2023-05-02,37457
2023-05-03,36971
2023-05-04,35504
2023-05-05,30988
2023-05-06,25889
2023-05-07,26726
2023-05-08,30240
2023-05-09,29703
2023-05-10,33282
2023-05-11,30979
2023-05-12,27340
2023-05-13,20585
2023-05-14,23256
2023-05-15,28581
2023-05-16,29970
2023-05-17,30369
2023-05-18,29554
2023-05-19,30321
2023-05-20,25892
2023-05-21,28746
2023-05-22,30993
2023-05-23,31053
2023-05-24,31311
2023-05-25,30427
2023-05-26,24920
2023-05-27,23706
2023-05-28,34209
2023-05-29,29691
2023-05-30,34974
2023-05-31,44864
2023-06-01,35386
2023-06-02,34795
2023-06-03,30741
2023-06-04,31574
2023-06-05,37947
2023-06-06,40472
2023-06-07,39068
2023-06-08,37399
2023-06-09,35650
2023-06-10,32869
2023-06-11,32989
2023-06-12,34826
2023-06-13,37749
2023-06-14,39099
2023-06-15,37539
2023-06-16,34748
2023-06-17,30771
2023-06-18,30517
2023-06-19,34952
2023-06-20,35683
2023-06-21,37242
2023-06-22,35689
2023-06-23,33159
2023-06-24,31365
2023-06-25,30909
2023-06-26,34825
2023-06-27,36308
2023-06-28,37398
2023-06-29,33241
2023-06-30,31476
2023-07-01,31428
2023-07-02,31011
2023-07-03,33577
2023-07-04,33365
2023-07-05,34549
2023-07-06,34987
2023-07-07,33144
2023-07-08,31679
2023-07-09,29949
2023-07-10,34279
2023-07-11,36240
2023-07-12,37958
2023-07-13,38136
2023-07-14,38872
2023-07-15,34265
2023-07-16,36889
2023-07-17,41606
2023-07-18,40076
2023-07-19,41952
2023-07-20,42104
2023-07-21,37418
2023-07-22,34703
2023-07-23,31299
2023-07-24,34915
2023-07-25,37765
2023-07-26,37672
2023-07-27,35870
2023-07-28,36368
2023-07-29,34129
2023-07-30,37568
2023-07-31,37209
2023-08-01,36712
2023-08-02,37169
2023-08-03,36720
2023-08-04,34977
2023-08-05,33563
2023-08-06,39490
2023-08-07,44174
2023-08-08,37145
2023-08-09,37197
2023-08-10,37989
2023-08-11,35418
2023-08-12,32617
2023-08-13,30336
2023-08-14,34376
2023-08-15,31566
2023-08-16,34005
2023-08-17,33367
2023-08-18,32831
2023-08-19,31478
2023-08-20,30381
2023-08-21,35523
2023-08-22,32220
2023-08-23,34114
2023-08-24,32795
2023-08-25,30297
2023-08-26,26982
2023-08-27,30875
2023-08-28,32218
2023-08-29,33594
2023-08-30,29477
2023-08-31,29672
2023-09-01,29993
2023-09-02,27055
2023-09-03,28361
2023-09-04,29756
2023-09-05,32364
2023-09-06,33032
2023-09-07,29941
2023-09-08,29315
2023-09-09,23457
2023-09-10,25504
2023-09-11,27378
2023-09-12,28977
2023-09-13,29083
2023-09-14,29880
2023-09-15,28355
2023-09-16,29280
2023-09-17,26185
2023-09-18,32223
2023-09-19,30674
2023-09-20,32356
2023-09-21,33124
2023-09-22,28138
2023-09-23,27205
2023-09-24,30133
2023-09-25,33487
2023-09-26,35601
2023-09-27,32458
2023-09-28,31961
2023-09-29,30874
2023-09-30,28075
2023-10-01,32769
2023-10-02,32520
2023-10-03,34328
2023-10-04,36552
2023-10-05,35352
2023-10-06,30365
2023-10-07,30000
2023-10-08,30149
2023-10-09,34085
2023-10-10,38663
2023-10-11,34233
2023-10-12,33719
2023-10-13,31308
2023-10-14,27528
2023-10-15,30432
2023-10-16,34902
2023-10-17,34722
2023-10-18,33318
2023-10-19,34174
2023-10-20,28141
2023-10-21,25014
2023-10-22,27878
2023-10-23,27879
2023-10-24,28291
2023-10-25,29267
2023-10-26,29990
2023-10-27,28270
2023-10-28,23277
2023-10-29,23913
2023-10-30,28263
2023-10-31,29773
2023-11-01,31236
2023-11-02,31020
2023-11-03,30488
2023-11-04,25930
2023-11-05,25880
2023-11-06,31969
2023-11-07,34950
2023-11-08,37461
2023-11-09,33085
2023-11-10,27392
2023-11-11,24231
2023-11-12,25344
2023-11-13,29205
2023-11-14,30137
2023-11-15,30413
2023-11-16,31847
2023-11-17,30258
2023-11-18,27809
2023-11-19,29561
2023-11-20,35399
2023-11-21,34316
2023-11-22,38632
2023-11-23,33963
2023-11-24,33386
2023-11-25,27470
2023-11-26,27220
2023-11-27,35026
2023-11-28,31381
2023-11-29,30612
2023-11-30,32557
2023-12-01,30260
2023-12-02,26958
2023-12-03,27152
2023-12-04,32687
2023-12-05,34213
2023-12-06,35011
2023-12-07,33702
2023-12-08,31834
2023-12-09,30324
2023-12-10,33287
2023-12-11,34621
2023-12-12,33645
2023-12-13,116843
2023-12-14,33354
2023-12-15,30065
2023-12-16,26261
2023-12-17,25563
2023-12-18,30433
2023-12-19,30262
2023-12-20,28749
2023-12-21,28784
2023-12-22,25355
2023-12-23,22886
2023-12-24,22552
2023-12-25,21799
2023-12-26,24223
2023-12-27,26700
2023-12-28,26376
2023-12-29,25997
2023-12-30,23872
2023-12-31,23185
2024-01-01,24754
